id,name,phone,date,time,score,prize,code
1774410152234,Admin Tester,999999999,25/03/2026,00:42,,-,-
1774412380746,1,1,25/03/2026,01:19,,-,-
1774412438039,gUILHERME,123,25/03/2026,01:20,,-,-
test_123,Teste Integracao,11999999999,2026-03-25,01:30,7,Boné,TEST-123
1774412380746,1,1,25/03/2026,01:19,0,-,-
1774412438039,gUILHERME,123,25/03/2026,01:20,2,-,-
1774412818930,das,13123,25/03/2026,01:26,,-,-
1774412818930,das,13123,25/03/2026,01:26,1,-,-
1774413445129,1234,1234,25/03/2026,01:37,,-,-
1774414355155,1,1,25/03/2026,01:52,,-,-
1774414355155,1,1,25/03/2026,01:52,1,-,-
1774414648562,1,1,25/03/2026,01:57,,-,-
1774409356223,Test User,11999999999,25/03/2026,00:29,7,-,-
1774409719601,Test User,11999999999,25/03/2026,00:35,7,Squeeze,AGRISHOW-7225
1774414975042,João Apresentação,11999999999,25/03/2026,02:02,,-,-
1774414975042,João Apresentação,11999999999,25/03/2026,02:02,2,-,-
demo-1774414997866,Visitante VIP,00000000000,,,7,,
demo-1774414997866,Visitante VIP,00000000000,,,7,Boné,
demo-1774414997866,Visitante VIP,00000000000,,,7,Boné,AGRISHOW-4878
1774415378977,1,1,25/03/2026,02:09,,-,-
1774415378977,1,1,25/03/2026,02:09,5,-,-
1774410141498,1,1,25/03/2026,00:42,,-,-
1774411040508,Guilherme reis,16991704868,25/03/2026,00:57,2,-,-
1774411271006,1,1,25/03/2026,01:01,,-,-
1774411477573,Guilherme REis,16991704868,25/03/2026,01:04,4,-,-
1774411554695,Guilherme Reis,1,25/03/2026,01:05,2,-,-
1774411845438,Guilherme Reis,16991704868,25/03/2026,01:10,1,-,-
1774411915772,Guilherme,16991704868,25/03/2026,01:11,1,-,-
1774412199233,gUILHERME rEIS,16991704868,25/03/2026,01:16,0,-,-
1774412274478,A,1,25/03/2026,01:17,,-,-
1774412282759,1,1,25/03/2026,01:18,,-,-
1774412669496,a,1,25/03/2026,01:24,1,-,-
1774412702548,3123,123,25/03/2026,01:25,,-,-
1774459235880,Guilherme Reis,16991704868,25/03/2026,14:20,,-,-
1774459235880,Guilherme Reis,16991704868,25/03/2026,14:20,7,Squeeze,AGRISHOW-3775
demo-1774459422317,Visitante VIP,00000000000,,,7,,
demo-1774459422317,Visitante VIP,00000000000,,,7,Caneta,AGRISHOW-3298
1774460617598,1,1,25/03/2026,14:43,,-,-
1774460617598,1,1,25/03/2026,14:43,2,-,-
1774460740891,Guilherme Reis,16991704868,25/03/2026,14:45,7,Caneta,AGRISHOW-4104
1774461252869,Gui,123,25/03/2026,14:54,7,Squeeze,AGRISHOW-3195
1774467017669,1,1,25/03/2026,16:30,,-,-
1774467111792,1,1,25/03/2026,16:31,,-,-
1774467455146,1,1,25/03/2026,16:37,,-,-
1774467462216,1,1,25/03/2026,16:37,,-,-
1774474409710,1,1,25/03/2026,18:33,,-,-
1774474409710,1,1,25/03/2026,18:33,4,-,-
1774474725870,1234,134,25/03/2026,18:38,,-,-
1774474746346,1,1,25/03/2026,18:39,,-,-
1774474746346,1,1,25/03/2026,18:39,1,-,-
1774474746346,1,1,25/03/2026,18:39,1,Caneta,-
1774474746346,1,1,25/03/2026,18:39,1,Caneta,AGRISHOW-9752
1774475147999,1,1,25/03/2026,18:45,,-,-
1774475173775,12,1,25/03/2026,18:46,,-,-
1774475351751,1,11,25/03/2026,18:49,,-,-
1774475351751,1,11,25/03/2026,18:49,1,-,-
1774475351751,1,11,25/03/2026,18:49,1,Boné,-
1774475351751,1,11,25/03/2026,18:49,1,Boné,AGRISHOW-4309
1774475737156,1,1,25/03/2026,18:55,,-,-
1774475761929,1,1,25/03/2026,18:56,,-,-
1774476235875,123,123,25/03/2026,19:03,,-,-
1774477546353,2123,123,25/03/2026,19:25,,-,-
1774477695284,1,1,25/03/2026,19:28,,-,-
1774477695284,1,1,25/03/2026,19:28,3,-,-
1774477695284,1,1,25/03/2026,19:28,3,Chapéu,-
1774477695284,1,1,25/03/2026,19:28,3,Chapéu,AGRISHOW-9988
1774481835091,Guilherme REis,12131293123,25/03/2026,20:37,,-,-
1774492786535,123 2131,(12) 31232-1312,25/03/2026,23:39,,-,-
1774493044607,Guilherme Reis,(12) 34123-1231,25/03/2026,23:44,,-,-
1774493400575,eads1 13123,(13) 12313-2131,25/03/2026,23:50,,-,-
1775518007531,asad 12,(12) 31249-8489,06/04/2026,20:26,,-,-
1775518007531,asad 12,(12) 31249-8489,06/04/2026,20:26,7,-,-
1775518007531,asad 12,(12) 31249-8489,06/04/2026,20:26,7,Caneta,-
1775518007531,asad 12,(12) 31249-8489,06/04/2026,20:26,7,Caneta,AGRISHOW-6841
1775518007531,asad 12,(12) 31249-8489,06/04/2026,20:26,7,Squeeze,AGRISHOW-6841
1775518007531,asad 12,(12) 31249-8489,06/04/2026,20:26,7,Caneta,AGRISHOW-6841
1775518007531,asad 12,(12) 31249-8489,06/04/2026,20:26,7,Caneta,AGRISHOW-3948
1775518007531,asad 12,(12) 31249-8489,06/04/2026,20:26,7,Caneta,AGRISHOW-5022
1774459536804,Teste,1234,25/03/2026,14:25,,-,-
1774482389717,1,1,25/03/2026,20:46,7,Caneta,-
1774483173863,1,1,25/03/2026,20:59,,-,-
1774483651144,123,123,25/03/2026,21:07,6,-,-
1774484088188,fa,1,25/03/2026,21:14,,-,-
1774484210341,João Apresentação,11999999999,25/03/2026,21:16,7,,AGRISHOW-7679
1774484422466,123,123,25/03/2026,21:20,7,,AGRISHOW-4593
1774484465423,123,123,25/03/2026,21:21,,Caneta,-
1774487499553,123,123,25/03/2026,22:11,,-,-
1774487681974,123,123,25/03/2026,22:14,,-,-
1774488226305,123,213,25/03/2026,22:23,,-,-
1774488749294,1,1,25/03/2026,22:32,,Chapéu,AGRISHOW-6568
1775591921492,asd asda,(12) 31231-2312,07/04/2026,16:58,,-,-
1775591921492,asd asda,(12) 31231-2312,07/04/2026,16:58,7,-,-
1775648554909,TESTE ROLETA,11999999999,08/04/2026,08:42,,-,-
1775648554909,TESTE ROLETA,11999999999,08/04/2026,08:42,,Chapéu,CHAPÉU
1775599676013,asdasd asdasd,(12) 31231-2321,07/04/2026,19:07,7,-,-
demo-1775600071254,Visitante VIP,00000000000,,,7,Caneta,CANETA
demo-1775600201311,Visitante VIP,00000000000,,,7,Caneta,CANETA
demo-1775600459990,Visitante VIP,00000000000,,,7,Caneta,CANETA
demo-1775600543239,Visitante VIP,00000000000,,,7,Chapéu,CHAPÉU
demo-1775602099627,Visitante VIP,00000000000,,,7,Squeeze,SQUEEZE
1775602454715,TESTE ROLETA,11999999999,07/04/2026,19:54,,-,-
1775602798246,TESTE ROLETA,11999999999,07/04/2026,19:59,,-,-
1775603069704,TESTE ROLETA,11999999999,07/04/2026,20:04,,-,-
1775648778801,TESTE ROLETA,11999999999,08/04/2026,08:46,,Chaveiro Trena,CHAVEIRO TRENA
1775648819048,TESTE ROLETA,11999999999,08/04/2026,08:46,,Caneta,CANETA
1775648838249,João Apresentação,11999999999,08/04/2026,08:47,,-,-
demo-1775649109953,Visitante VIP,00000000000,,,7,Caneta,CANETA
1775649278781,TESTE ROLETA,11999999999,08/04/2026,08:54,,-,-
